studyAccession,individualAccession,individualName,sampleAccession,sampleDescription,sampleName,gender,runAccession,dataName,experimentAccession,platform,strategy
HRA000021,HRI035306,Null,HRS039832,,BDESCC0032N,female,HRR067387,HRR067387.bam::NOT_FOUND,HRX048874,Null,WES
HRA000021,HRI035306,Null,HRS039833,,BDESCC0032T,female,HRR067388,HRR067388.bam::NOT_FOUND,HRX048875,Null,WES
HRA000021,HRI035307,Null,HRS039834,,BDESCC0033N,male,HRR067389,HRR067389.bam::NOT_FOUND,HRX048876,Null,WES
HRA000021,HRI035307,Null,HRS039835,,BDESCC0033T,male,HRR067390,HRR067390.bam::NOT_FOUND,HRX048877,Null,WES
HRA000021,HRI035308,Null,HRS039836,,BDESCC0034N,male,HRR067391,HRR067391.bam::NOT_FOUND,HRX048878,Null,WES
HRA000021,HRI035308,Null,HRS039837,,BDESCC0034T,male,HRR067392,HRR067392.bam::NOT_FOUND,HRX048879,Null,WES
HRA000021,HRI035309,Null,HRS039838,,BDESCC0036N,female,HRR067393,HRR067393.bam::NOT_FOUND,HRX048880,Null,WES
HRA000021,HRI035309,Null,HRS039839,,BDESCC0036T,female,HRR067394,HRR067394.bam::NOT_FOUND,HRX048881,Null,WES
HRA000021,HRI035310,Null,HRS039840,,BDESCC0037N,male,HRR067395,HRR067395.bam::NOT_FOUND,HRX048882,Null,WES
HRA000021,HRI035310,Null,HRS039841,,BDESCC0037T,male,HRR067396,HRR067396.bam::NOT_FOUND,HRX048883,Null,WES
HRA000021,HRI035311,Null,HRS039842,,BDESCC0039N,male,HRR067397,HRR067397.bam::NOT_FOUND,HRX048884,Null,WES
HRA000021,HRI035311,Null,HRS039843,,BDESCC0039T,male,HRR067398,HRR067398.bam::NOT_FOUND,HRX048885,Null,WES
HRA000021,HRI035312,Null,HRS039844,,BDESCC0040N,female,HRR067399,HRR067399.bam::NOT_FOUND,HRX048886,Null,WES
HRA000021,HRI035312,Null,HRS039845,,BDESCC0040T,female,HRR067400,HRR067400.bam::NOT_FOUND,HRX048887,Null,WES
HRA000021,HRI035313,Null,HRS039846,,BDESCC0041N,female,HRR067401,HRR067401.bam::NOT_FOUND,HRX048888,Null,WES
HRA000021,HRI035313,Null,HRS039847,,BDESCC0041T,female,HRR067402,HRR067402.bam::NOT_FOUND,HRX048889,Null,WES
HRA000021,HRI035314,Null,HRS039848,,BDESCC0043N,female,HRR067403,HRR067403.bam::NOT_FOUND,HRX048890,Null,WES
HRA000021,HRI035314,Null,HRS039849,,BDESCC0043T,female,HRR067404,HRR067404.bam::NOT_FOUND,HRX048891,Null,WES
HRA000021,HRI035315,Null,HRS039850,,BDESCC0044N,male,HRR067405,HRR067405.bam::NOT_FOUND,HRX048892,Null,WES
HRA000021,HRI035315,Null,HRS039851,,BDESCC0044T,male,HRR067406,HRR067406.bam::NOT_FOUND,HRX048893,Null,WES
HRA000021,HRI035316,Null,HRS039852,,BDESCC0045N,female,HRR067407,HRR067407.bam::NOT_FOUND,HRX048894,Null,WES
HRA000021,HRI035316,Null,HRS039853,,BDESCC0045T,female,HRR067408,HRR067408.bam::NOT_FOUND,HRX048895,Null,WES
HRA000021,HRI035317,Null,HRS039854,,BDESCC0046N,male,HRR067409,HRR067409.bam::NOT_FOUND,HRX048896,Null,WES
HRA000021,HRI035317,Null,HRS039855,,BDESCC0046T,male,HRR067410,HRR067410.bam::NOT_FOUND,HRX048897,Null,WES
HRA000021,HRI035318,Null,HRS039856,,BDESCC0047N,male,HRR067411,HRR067411.bam::NOT_FOUND,HRX048898,Null,WES
HRA000021,HRI035318,Null,HRS039857,,BDESCC0047T,male,HRR067412,HRR067412.bam::NOT_FOUND,HRX048899,Null,WES
HRA000021,HRI035319,Null,HRS039858,,BDESCC0048N,male,HRR067413,HRR067413.bam::NOT_FOUND,HRX048900,Null,WES
HRA000021,HRI035319,Null,HRS039859,,BDESCC0048T,male,HRR067414,HRR067414.bam::NOT_FOUND,HRX048901,Null,WES
HRA000021,HRI035320,Null,HRS039860,,BDESCC0049N,female,HRR067415,HRR067415.bam::NOT_FOUND,HRX048902,Null,WES
HRA000021,HRI035320,Null,HRS039861,,BDESCC0049T,female,HRR067416,HRR067416.bam::NOT_FOUND,HRX048903,Null,WES
HRA000021,HRI035321,Null,HRS039862,,BDESCC0050N,female,HRR067417,HRR067417.bam::NOT_FOUND,HRX048904,Null,WES
